Spectraltype,Temperature (K),absolute-magnitude
K5V,5947,8.342946409
G5V,5922,4.642151613
K0V,5385,5.290469683
K2V,4850,6.971608173
K2V,4155,6.926218994
K8V,4015,8.636349486
F9V,6065,3.912342995
K8V,4188,5.815024378
M8V,2486,17.48785281
M3V,3510,11.15386368
K1III,5018,2.442912925
G9IV,5960,4.304254603
G5IV,5546,4.055333012
G5IV,5495,4.802058164
K1.5III,4196,-0.094420604
K3IV,4733,5.191944891
F9V,6266,3.099397358
G5IV,5810,4.22836286
G0IV,5663,3.535395513
G5V,5601,4.300977242
F7V,6426,3.752449061
K0V,5467,5.152912925
G0V,5877,4.564718681
F6V,6441,4.200817821
G3V,5624,5.401023163
G8III,4683,0.337075182
F5V,6092,3.609059951
F9V,6213,3.290684427
K9V,4240,8.092586755
G8IV,5060,2.506891681
G,5417,5.614939865
K1V,5021,6.956151765
G4V,5619,4.517268694
G6V,5497,5.159988276
G5V,5587,4.998770299
K5V,4478,5.552408493
G5IV/V,5674,5.035018761
G0IV,6041,2.913858545
G6V,5498,4.266798591
G2V,5722,4.277312485
G0V,5857,4.18486236
G5V,5627,4.770736645
K0V,5177,5.395027664
K0IV,4948,3.31934562
F8.5IV-V,6192,1.512410715
G0V,5853,4.714732197
G5V,5372,4.832058164
F6IV,6131,2.987893072
G8V,5466,5.193090478
F8IV,6395,2.163418984
G5IV,5724,3.875063298
G1V,5933,3.854476862
F8V,6260,4.045919618
K5V,4438,7.1459904
G0IV,5904,3.796972689
G5V,5518,5.995706345
K0III/IV,5030,2.565619661
K0III,5014,2.329596155
G2V,5823,4.634476565
G5V,5541,5.397208142
G1V,5781,4.044823144
K1V,5073,7.523662455
F8V,5986,3.810554608
K5V,4962,6.249535902
K1V,5079,6.891285408
K0V,5204,5.297053595
G2IV,5888,4.150769639
K4V,4590,4.522897569
M6V,3068,13.18527944
G7V,5399,3.415898124
F8IV,6351,2.948238383
G0V,5958,4.11548582
M0V,3821,9.265984445
F8V,6208,3.624195642
F7V,6340,4.833138747
G3IV,5760,3.245452652
G0IV,5978,3.172912925
G5V,5606,4.429283533
G5V,5664,5.186072914
G0IV,5947,3.504967671
G3V,5766,4.572886711
K0V,5219,5.748651865
G6V,5595,5.006067891
B4VI,27733,4.51039261
G0V,5913,4.371476179
G5V,5714,4.417633903
F5IV,6510,2.57482107
G4V,5647,4.388406754
G4V,5681,4.753068194
G0V,6011,3.995319705
K4V,4776,6.779397358
M1V,3910,5.672402138
G5IV,5520,4.439567444
G8V,5383,4.914083613
G5V,5593,4.736110666
G2V,5756,4.183263153
G5V,5633,4.760801342
G9IIIb,4750,0.96304305
F8V,6297,3.358014663
G2IV,5757,3.23737029
K1V,4954,6.250429418
G6IV,5588,4.697115447
G2V,5756,4.819992197
G5V,5628,3.987924132
F8V,5988,2.413626245
F7V,6442,3.105735735
K3V,4861,6.250983696
K2V,4965,6.360429418
K1V,5144,5.975142175
G8IV,5220,2.365063298
K0V,5171,5.940642104
G5V,5905,3.965998883
G3IV-V,5842,3.975279439
K1V,5246,1.876366794
G3V,5874,4.096194143
F7V,6142,4.27118567
F8IV,5915,3.779999675
G8V,5501,4.922793557
F5V,6386,3.787075182
G6III,4975,1.132456629
K3V,4979,7.14766722
K0III,5164,2.31560785
K2V,5008,6.23384673
G6V,5621,4.835135821
G6V,5750,4.795823588
K5V,4675,7.696050845
G5V,5767,4.605473674
K2V,5056,6.294718804
M1.5V,3759,10.19300278
F7V,6176,3.404418848
K0V,5246,5.758022085
K0III,4874,1.913546774
F5V,6475,3.653951624
G2V,5929,4.16667587
K2V,4818,5.873629672
G0V,5942,4.169557092
sdB,29317,3.834227603
G9V,5372,5.356502995
F5V,6315,3.488463601
G0V,5532,4.971641965
M3.5V,3451,10.60152589
K1IV,5010,2.24286701
G5IV,5612,4.119000729
G8IV,5121,2.00991332
F8V,5998,4.07286701
G4IV,5984,3.74787396
K0V,5140,6.471641965
G0.5V,5885,3.730023739
K3V,4852,5.775690443
F6.4V,6199,3.338786137
M4V,3348,11.81367501
G0IV,5767,3.470602839
G2.5IV,5636,3.929535902
K1V,5248,5.344842219
G2V,5793,4.519281285
A3V,8590,1.726169722
G0V,5975,4.686641155
G8IV,5646,4.682565382
F8V,5966,4.09286701
A5V,7429,2.974183613
K3V,4820,6.354717422
G3V,5779,4.741825848
K3III,4290,2.559867401
K2III,4361,-5.44511483
K0III,5248,0.89667587
G0IV,5891,3.74257215
G3V,5728,4.530292154
F9V,5940,3.556591725
G8III,4813,0.729033635
F7V,6304,4.120769639
K2V,5493,5.520037536
F8V,6115,4.369999675
F7V,6571,4.045908681
K2IV,4792,2.483343007
G5V,5662,4.599437623
K4V,4779,6.797353423
G4V,5714,4.893273494
K2V,5623,6.450146543
G2IV,6037,3.264607003
,4095,-2.509848211
,3926,-1.717190183
,4069,-1.636475123
,3943,-1.451398788
,4296,-1.34544509
,4092.1,-1.254202451
,3787,-1.175459699
,4035,-1.087965154
,4175,-0.959209548
,4330,-0.948431392
,4126,-0.863039024
,4388,-0.838463209
,4055,-0.701341833
,4414,-0.612238078
,5242,-0.548776873
,4213,-0.481021862
,4534,-0.46015698
,4052,-0.361307254
,4374,-0.260676239
,4181,-0.215109628
,4424,-0.198642665
,4445,-0.111212547
,4742,-0.111036794
,4406,-0.074869691
,4200,0.028136338
,4545,0.028856152
,4312,0.047245023
,4901,0.078850821
,4200,0.083413753
,4928,0.153552262
,4928,0.153552262
,4769,0.179958243
,4284,0.186294881
,4323,0.212352091
,5544,0.267345216
,5544,0.267345216
,5544,0.267345216
,4415,0.276201083
,4683,0.442972686
,4815,0.463739739
,4553,0.472168432
,4658,0.512623213
,4970,0.525859352
,4822,0.529734377
,4822,0.529734377
,4945,0.542572509
,4218,0.544309581
,4785,0.617028069
,10900,0.642545774
,4893,0.662996309
,4844,0.706171399
,4700,0.709202701
,4791,0.711825877
,4753,0.722528658
,4846,0.750688732
,4891,0.75501493
,4877,0.781405181
,4530,0.786759683
,4770,0.800085943
,4806,0.808791121
,4806,0.808791121
,4847,0.821649102
,4892,0.827447595
,4813,0.834678273
,4749,0.863160854
,4649,0.866295197
,4796,0.870542508
,4830,0.878038632
,4830,0.889289899
,4769,0.901181369
,4326,0.924399599
,4780,0.955615424
,4790,0.969597737
,4673,0.970068805
,4580,0.979433422
,4835,0.981224114
,4665,1.028792071
,4869,1.054774772
,4946,1.067397306
,5000,1.081507269
,4979,1.09110173
,4943,1.125598125
,4884,1.132214106
,4780,1.157368913
,4924,1.162185003
,10170,1.171140499
,4985,1.182308047
,10500,1.216655018
,4538.2,1.311914631
,4805,1.319566477
,4639,1.329197083
,4745,1.343537986
,4745,1.343537986
,4300,1.3545098
,5130,1.449274618
,4802,1.466469272
,4698,1.483490166
,4866,1.594550065
,4866,1.594550065
,4878,1.615747612
,,1.697506278
,,1.727546374
,4940,1.744138455
,4670,1.7453258
,8840,1.747574046
,10500,1.770141329
,4862,1.810313436
,4862,1.810313436
,5040,1.8412665
,5040,1.8412665
,8720,1.854017969
,7650,1.867759516
,7554,1.894140499
,6216,1.90013621
,4947,1.943946294
,4972,1.975742872
,7930,1.992622062
,6161,2.063148273
,4890,2.073596765
,4890,2.073596765
,8480,2.125941946
,5098,2.148013275
,5098,2.148013275
,4943,2.14925207
,5041,2.153035945
,4877,2.165012004
,4938,2.168476035
,4982,2.171133516
,4982,2.171133516
,6395,2.171869622
,4912,2.174062507
,4846,2.191544348
,4959,2.193325199
,4959,2.193325199
,5020,2.203251961
,6620,2.218470674
,6620,2.218470674
,4918,2.229118302
,4918,2.229118302
,6481,2.231930738
,5131,2.237065647
,4946,2.242433743
,4850,2.243131862
,4953,2.25210848
,4951,2.256800805
,4861,2.266544169
,4861,2.266544169
,5027,2.272407198
,4934,2.304574991
,4895,2.312071125
,7070,2.316480127
,4945,2.330831729
,5770,2.345598431
,5003,2.363430921
,4871,2.368500803
,,2.3721645
,5603,2.418692786
,4985,2.422512638
,6245,2.424397394
,6245,2.424397394
,6096,2.426597209
,6403,2.430265193
,4550,2.430813876
,6510,2.431181179
,4792,2.434481749
,4960,2.438933056
,5013,2.448947359
,4860,2.456149944
,4943,2.456907704
,5671,2.465777532
,5020,2.469764532
,7500,2.479220646
,4842,2.491921689
,7067,2.496658593
,6041,2.507826943
,7005,2.531495335
,4978,2.531763559
,4978,2.531763559
,6406,2.543250108
,,2.551906678
,4297,2.555446771
,7010,2.556901118
,6217,2.559441446
,4819,2.578502617
,4819,2.578502617
,6152,2.591760907
,6152,2.591760907
,6460,2.598801831
,7099,2.606894906
,7044,2.613624421
,5025,2.623469791
,4798,2.634362574
,4840,2.635269021
,4840,2.635269021
,4840,2.635269021
,6670,2.653198055
,7454,2.674903526
,4961,2.676329573
,,2.676426209
,6010,2.67860357
,4922,2.684976922
,7308,2.703802658
,5509,2.712975128
,6516,2.725867853
,4860,2.748640792
,6554,2.750857717
,4972,2.762844207
,4989,2.762943538
,4925,2.764142792
,6291,2.764676965
,4871,2.765475743
,4871,2.765475743
,4995,2.767403737
,4995,2.767403737
,6430,2.772034291
,4915,2.772318133
,4915,2.772318133
,6820,2.786720642
,4820,2.790567354
,6450,2.797592815
,6317,2.804892728
,6279,2.808487496
,5541,2.813170717
,5541,2.813170717
,6179,2.828913537
,6807,2.83190385
,6392,2.838590912
,5028,2.847904085
,4806,2.850567623
,5972,2.855501636
,5972,2.855501636
,6228,2.858417575
,5047,2.870867565
,6050,2.870904525
,4940,2.87229186
,4940,2.87229186
,,2.888263348
,5900,2.895150097
,5988,2.896839417
,6339,2.905853286
,4717,2.914002846
,5800,2.917087409
,6291,2.923455436
,6805,2.926399857
,4840,2.933606053
,6389,2.937250108
,6761,2.941924679
