pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
GJ 581,c,GJ 581 c,,6.3,-1.886,1.63,11.56329725
GJ 581,e,GJ 581 e,,6.3,-1.886,1.63,11.56329725
GJ 625,b,GJ 625 b,3499,6.2,-1.894,1.6,11.03877652
GJ 649,b,GJ 649 b,3700,6.05,,1.5,9.609013232
GJ 667 C,b,GJ 667 C b,3350,6.15,-1.863,,11.05745544
GJ 667 C,c,GJ 667 C c,3350,6.15,-1.863,,11.05745544
GJ 667 C,e,GJ 667 C e,3350,6.15,-1.863,,11.05745544
GJ 667 C,f,GJ 667 C f,3350,6.15,-1.863,,11.05745544
GJ 667 C,g,GJ 667 C g,3350,6.15,-1.863,,11.05745544
GJ 674,b,GJ 674 b,3600,6.25,-1.796,1.57,11.07994302
GJ 676 A,b,GJ 676 A b,3734,6,,1.44,8.440566477
GJ 676 A,c,GJ 676 A c,3734,6,,1.44,8.440566477
GJ 676 A,d,GJ 676 A d,3734,6,,1.44,8.440566477
GJ 676 A,e,GJ 676 A e,3734,6,,1.44,8.440566477
GJ 687,b,GJ 687 b,3340,6.3,,1.47,10.85994302
GJ 832,b,GJ 832 b,3472,6.15,-1.585,1.506,10.17821806
GJ 832,c,GJ 832 c,3472,6.15,-1.585,1.506,10.17821806
GJ 849,b,GJ 849 b,3241,6.3,,1.5,10.64758664
GJ 86,b,GJ 86 b,5182,5.1,,0.82,5.954892777
GJ 876,b,GJ 876 b,,6.4,-1.907,1.558,11.83977073
GJ 876,c,GJ 876 c,,6.4,-1.907,1.558,11.83977073
GJ 876,d,GJ 876 d,,6.4,-1.907,1.558,11.83977073
GJ 876,e,GJ 876 e,,6.4,-1.907,1.558,11.83977073
GJ 96,b,GJ 96 b,3785,6.2,-1.052,1.519,8.959978366
GJ 9827,b,GJ 9827 b,4269,5.5,,1.26,7.841354015
GJ 9827,c,GJ 9827 c,4269,5.5,,1.26,7.841354015
GJ 9827,d,GJ 9827 d,4269,5.5,,1.26,7.841354015
GQ Lup,b,GQ Lup b,,5.7,,1.05,6.714925999
GSC 06214-00210,b,GSC 06214-00210 b,4200,5.7,-0.42,1.241,6.568159989
GU Psc,b,GU Psc b,,6.3,,1.75,10.14379381
Gl 686,b,Gl 686 b,3663,6.1,-1.553,1.54,10.01854921
HAT-P-1,b,HAT-P-1 b,5980,4,,0.56,4.624925999
HAT-P-11,b,HAT-P-11 b,4780,5.4,,1.186,6.285966613
HAT-P-11,c,HAT-P-11 c,4780,5.4,,1.186,6.285966613
HAT-P-12,b,HAT-P-12 b,4650,5.4,-0.678,,7.070925678
HAT-P-13,b,HAT-P-13 b,5653,4.4,0.346,,3.969931133
HAT-P-13,c,HAT-P-13 c,5653,4.4,0.346,,3.969931133
HAT-P-14,b,HAT-P-14 b,6600,3,,,3.421230695
HAT-P-15,b,HAT-P-15 b,5568,4.5,,,5.766231995
HAT-P-16,b,HAT-P-16 b,6158,3.8,0.294,,3.956660689
HAT-P-17,b,HAT-P-17 b,5246,5,,,5.768787453
HAT-P-17,c,HAT-P-17 c,5246,5,,,5.768787453
HAT-P-18,b,HAT-P-18 b,4803,5.2,-0.569,,6.65845956
HAT-P-19,b,HAT-P-19 b,4990,5.1,-0.432,,6.2388077
HAT-P-2,b,HAT-P-2 b,6380,3.8,0.53,0.463,3.179713131
HAT-P-20,b,HAT-P-20 b,4595,5.3,-0.721,,7.1135098
HAT-P-21,b,HAT-P-21 b,5588,4.3,,,4.660831417
HAT-P-22,b,HAT-P-22 b,5302,4.5,,,5.162930738
HAT-P-23,b,HAT-P-23 b,5905,4,,,4.460037248
HAT-P-24,b,HAT-P-24 b,6373,3.8,,,3.82952407
HAT-P-25,b,HAT-P-25 b,5519,4.5,-0.152,,5.826217753
HAT-P-26,b,HAT-P-26 b,5079,5.1,,,6.108476008
HAT-P-27,b,HAT-P-27 b,5300,4.8,-0.244,,
HAT-P-28,b,HAT-P-28 b,5680,4.3,0.053,,5.047014522
HAT-P-29,b,HAT-P-29 b,6087,3.8,,,4.360720642
HAT-P-3,b,HAT-P-3 b,5185,5,,0.671,5.877604568
HAT-P-30,b,HAT-P-30 b,6304,3.7,,,3.991213455
HAT-P-31,b,HAT-P-31 b,6065,,,,3.91498369
HAT-P-32,b,HAT-P-32 b,6207,,,,4.030067822
HAT-P-33,b,HAT-P-33 b,6446,3.4,,,3.249445175
HAT-P-34,b,HAT-P-34 b,6442,,,,3.112334383
HAT-P-35,b,HAT-P-35 b,6096,,,,3.81823109
HAT-P-36,b,HAT-P-36 b,5560,4.5,,,4.756703689
HAT-P-37,b,HAT-P-37 b,5500,,-0.208,,5.160790891
HAT-P-38,b,HAT-P-38 b,5330,4.5,-0.208,,5.576003265
HAT-P-39,b,HAT-P-39 b,6430,,0.607,,3.38432486
HAT-P-4,b,HAT-P-4 b,5860,4.1,0.431,0.713,3.63335176
HAT-P-40,b,HAT-P-40 b,6080,,,,3.199811371
HAT-P-41,b,HAT-P-41 b,6390,,,,3.404207787
HAT-P-42,b,HAT-P-42 b,5743,,0.356,,3.916462384
