pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
Kepler-1499,b,Kepler-1499 b,5097,,,,6.052191531
Kepler-15,b,Kepler-15 b,5515,,-0.087,,4.87449408
Kepler-150,b,Kepler-150 b,5560,,,,5.149601329
Kepler-150,c,Kepler-150 c,5560,,,,5.149601329
Kepler-150,d,Kepler-150 d,5560,,,,5.149601329
Kepler-150,e,Kepler-150 e,5560,,,,5.149601329
Kepler-150,f,Kepler-150 f,5560,,,,5.149601329
Kepler-1500,b,Kepler-1500 b,5845,,,,4.825157848
Kepler-1501,b,Kepler-1501 b,6229,,,,3.967935171
Kepler-1502,b,Kepler-1502 b,6666,,,,3.217396396
Kepler-1503,b,Kepler-1503 b,5069,,,,6.148905371
Kepler-1504,b,Kepler-1504 b,5393,,,,5.591923126
Kepler-1505,b,Kepler-1505 b,5686,,,,5.212527757
Kepler-1506,b,Kepler-1506 b,5676,,,,5.052422949
Kepler-1507,b,Kepler-1507 b,5410,,,,5.46586947
Kepler-1508,b,Kepler-1508 b,6158,,,,4.524175728
Kepler-1509,b,Kepler-1509 b,5780,,,,4.855045514
Kepler-151,b,Kepler-151 b,5460,,,,5.667992703
Kepler-151,c,Kepler-151 c,5460,,,,5.667992703
Kepler-1510,b,Kepler-1510 b,6200,,,,4.128137367
Kepler-1511,b,Kepler-1511 b,6064,,,,4.168037785
Kepler-1512,b,Kepler-1512 b,4372,,,,7.345424927
Kepler-1513,b,Kepler-1513 b,5617,,,,4.966343878
Kepler-1514,b,Kepler-1514 b,6251,,,,3.79680395
Kepler-1515,b,Kepler-1515 b,6511,,,,3.527847318
Kepler-1516,b,Kepler-1516 b,5904,,,,4.758417575
Kepler-1517,b,Kepler-1517 b,7010,,,,2.556901118
Kepler-1518,b,Kepler-1518 b,6846,,,,3.021475743
Kepler-1519,b,Kepler-1519 b,5644,,,,5.154563561
Kepler-152,b,Kepler-152 b,5088,,,,5.980936572
Kepler-152,c,Kepler-152 c,5088,,,,5.980936572
Kepler-1520,b,Kepler-1520 b,4677,,,,6.674714422
Kepler-1521,b,Kepler-1521 b,5042,,,,6.079870714
Kepler-1522,b,Kepler-1522 b,5706,,,,5.021754546
Kepler-1523,b,Kepler-1523 b,5708,,,,5.045786594
Kepler-1524,b,Kepler-1524 b,6179,,,,4.199247416
Kepler-1525,b,Kepler-1525 b,5748,,,,4.74852407
Kepler-1526,b,Kepler-1526 b,4601,,,,6.843887583
Kepler-1527,b,Kepler-1527 b,6224,,,,4.164377008
Kepler-1528,b,Kepler-1528 b,5857,,,,4.686522632
Kepler-1529,b,Kepler-1529 b,5048,,,,6.189896482
Kepler-153,b,Kepler-153 b,5404,,,,5.749847318
Kepler-153,c,Kepler-153 c,5404,,,,5.749847318
Kepler-1530,b,Kepler-1530 b,5477,,,,5.316304611
Kepler-1530,c,Kepler-1530 c,5477,,,,5.316304611
Kepler-1531,b,Kepler-1531 b,6260,,,,4.063625986
Kepler-1532,b,Kepler-1532 b,5559,,,,5.235363942
Kepler-1533,b,Kepler-1533 b,6431,,,,3.562802026
Kepler-1534,b,Kepler-1534 b,5442,,,,5.444261896
Kepler-1535,b,Kepler-1535 b,6021,,,,4.488055625
Kepler-1536,b,Kepler-1536 b,4434,,,,7.172278137
Kepler-1537,b,Kepler-1537 b,5079,,,,6.028160075
Kepler-1538,b,Kepler-1538 b,5837,,,,4.690368789
Kepler-1539,b,Kepler-1539 b,5176,,,,5.824368913
Kepler-154,b,Kepler-154 b,5690,,,,4.874169426
Kepler-154,c,Kepler-154 c,5690,,,,4.874169426
Kepler-154,d,Kepler-154 d,5690,,,,4.874169426
Kepler-154,e,Kepler-154 e,5690,,,,4.874169426
Kepler-154,f,Kepler-154 f,5690,,,,4.874169426
Kepler-1540,b,Kepler-1540 b,4540,,,,6.981493543
Kepler-1541,b,Kepler-1541 b,5282,,,,5.715998294
Kepler-1542,b,Kepler-1542 b,5564,,,,5.007303613
Kepler-1542,c,Kepler-1542 c,5564,,,,5.007303613
Kepler-1542,d,Kepler-1542 d,5564,,,,5.007303613
Kepler-1542,e,Kepler-1542 e,5564,,,,5.007303613
Kepler-1543,b,Kepler-1543 b,6561,,,,3.252574046
Kepler-1544,b,Kepler-1544 b,4886,,,,6.346872865
Kepler-1545,b,Kepler-1545 b,5201,,,,5.843057809
Kepler-1546,b,Kepler-1546 b,5623,,,,5.425068078
Kepler-1547,b,Kepler-1547 b,6078,,,,4.332891773
Kepler-1548,b,Kepler-1548 b,5706,,,,4.955510798
Kepler-1549,b,Kepler-1549 b,5324,,,,5.694374092
Kepler-155,b,Kepler-155 b,4508,6,,,6.923661898
Kepler-155,c,Kepler-155 c,4508,6,,,6.923661898
Kepler-1550,b,Kepler-1550 b,5991,,,,4.500477662
Kepler-1551,b,Kepler-1551 b,6136,,,,4.186377008
Kepler-1552,b,Kepler-1552 b,5202,,,,5.883057625
Kepler-1553,b,Kepler-1553 b,5288,,,,5.671355548
Kepler-1554,b,Kepler-1554 b,5297,,,,5.756442561
Kepler-1555,b,Kepler-1555 b,5866,,,,4.650459785
Kepler-1556,b,Kepler-1556 b,5608,,,,5.120470674
Kepler-1557,b,Kepler-1557 b,6099,,,,4.404706174
Kepler-1558,b,Kepler-1558 b,5101,,,,5.9555294
Kepler-1559,b,Kepler-1559 b,5316,,,,5.682860032
Kepler-156,b,Kepler-156 b,5094,,,,5.959677399
Kepler-156,c,Kepler-156 c,5094,,,,5.959677399
Kepler-1560,b,Kepler-1560 b,5815,,,,4.80372164
Kepler-1561,b,Kepler-1561 b,5957,,,,4.673253758
Kepler-1562,b,Kepler-1562 b,5760,,,,4.994371236
Kepler-1563,b,Kepler-1563 b,5765,,,,4.893063368
Kepler-1564,b,Kepler-1564 b,5528,,,,5.301417575
Kepler-1565,b,Kepler-1565 b,4940,,,,6.241173152
Kepler-1566,b,Kepler-1566 b,5254,,,,5.768895499
Kepler-1567,b,Kepler-1567 b,5655,,,,5.229547649
Kepler-1568,b,Kepler-1568 b,5956,,,,4.236196482
Kepler-1569,b,Kepler-1569 b,6319,,,,3.854053505
Kepler-157,b,Kepler-157 b,5774,,,,4.629590912
Kepler-157,c,Kepler-157 c,5774,,,,4.629590912
Kepler-157,d,Kepler-157 d,5774,,,,4.629590912
Kepler-1570,b,Kepler-1570 b,5550,,,,5.633095045
Kepler-1571,b,Kepler-1571 b,6297,,,,4.246128159
Kepler-1572,b,Kepler-1572 b,5618,,,,5.059243748
Kepler-1573,b,Kepler-1573 b,5808,,,,4.820589963
Kepler-1574,b,Kepler-1574 b,5892,,,,4.630449076
Kepler-1575,b,Kepler-1575 b,5667,,,,5.083070691
Kepler-1576,b,Kepler-1576 b,5876,,,,4.724056174
Kepler-1577,b,Kepler-1577 b,4862,,,,6.382000852
Kepler-1578,b,Kepler-1578 b,5545,,,,5.33453146
Kepler-1579,b,Kepler-1579 b,4584,,,,6.878070417
Kepler-158,b,Kepler-158 b,4623,,,,6.700464418
Kepler-158,c,Kepler-158 c,4623,,,,6.700464418
Kepler-1580,b,Kepler-1580 b,6228,,,,2.858417575
Kepler-1581,b,Kepler-1581 b,6022,,,,4.167981369
Kepler-1582,b,Kepler-1582 b,3208,,,,11.81190989
Kepler-1583,b,Kepler-1583 b,5645,,,,5.133658919
Kepler-1584,b,Kepler-1584 b,6069,,,,4.312920609
Kepler-1585,b,Kepler-1585 b,5538,,,,5.44769189
Kepler-1586,b,Kepler-1586 b,6681,,,,3.413431288
Kepler-1587,b,Kepler-1587 b,5933,,,,4.301963565
Kepler-1588,b,Kepler-1588 b,5817,,,,4.766870532
Kepler-1589,b,Kepler-1589 b,6166,,,,4.219618846
Kepler-159,b,Kepler-159 b,4625,6,,,6.908047466
Kepler-159,c,Kepler-159 c,4625,6,,,6.908047466
Kepler-1590,b,Kepler-1590 b,6053,,,,4.338787453
Kepler-1591,b,Kepler-1591 b,6082,,,,4.49886751
Kepler-1592,b,Kepler-1592 b,6213,,,,4.152940252
Kepler-1593,b,Kepler-1593 b,4995,,,,6.483265242
Kepler-1594,b,Kepler-1594 b,5946,,,,4.594036574
Kepler-1595,b,Kepler-1595 b,5203,,,,5.824020021
Kepler-1596,b,Kepler-1596 b,5706,,,,5.036507248
Kepler-1597,b,Kepler-1597 b,6377,,,,3.650781371
Kepler-1598,b,Kepler-1598 b,5940,,,,4.5455197
Kepler-1599,b,Kepler-1599 b,5767,,,,4.936331436
Kepler-16,b,Kepler-16 b,4450,,,,7.835350825
Kepler-160,b,Kepler-160 b,5857,,,,4.995020021
Kepler-160,c,Kepler-160 c,5857,,,,4.995020021
Kepler-1600,b,Kepler-1600 b,5214,,,,5.842441639
Kepler-1601,b,Kepler-1601 b,5869,,,,4.666280322
Kepler-1602,b,Kepler-1602 b,6296,,,,3.796211956
Kepler-1603,b,Kepler-1603 b,6241,,,,4.11556927
Kepler-1604,b,Kepler-1604 b,4976,,,,6.166318422
Kepler-1605,b,Kepler-1605 b,5280,,,,5.677759908
Kepler-1606,b,Kepler-1606 b,5422,,,,5.416586639
Kepler-1607,b,Kepler-1607 b,6116,,,,4.565563305
Kepler-1608,b,Kepler-1608 b,4992,,,,6.288383369
Kepler-1609,b,Kepler-1609 b,6132,,,,4.159294245
Kepler-161,b,Kepler-161 b,5078,,,,5.863410097
Kepler-161,c,Kepler-161 c,5078,,,,5.863410097
Kepler-1610,b,Kepler-1610 b,5383,,,,5.717333677
Kepler-1611,b,Kepler-1611 b,5605,,,,5.253379421
Kepler-1612,b,Kepler-1612 b,5643,,,,5.13637271
Kepler-1613,b,Kepler-1613 b,6005,,,,4.458169426
Kepler-1614,b,Kepler-1614 b,5121,,,,5.962442561
Kepler-1615,b,Kepler-1615 b,5865,,,,4.687360732
Kepler-1616,b,Kepler-1616 b,6266,,,,3.821463671
Kepler-1617,b,Kepler-1617 b,6167,,,,4.079547272
Kepler-1618,b,Kepler-1618 b,6620,,,,3.142396777
Kepler-1619,b,Kepler-1619 b,5852,,,,4.760983282
Kepler-162,b,Kepler-162 b,5816,,,,4.464757104
Kepler-162,c,Kepler-162 c,5816,,,,4.464757104
Kepler-1620,b,Kepler-1620 b,6157,,,,4.21710253
Kepler-1621,b,Kepler-1621 b,6158,,,,4.19174892
Kepler-1622,b,Kepler-1622 b,6436,,,,3.549601329
Kepler-1623,b,Kepler-1623 b,5772,,,,4.981615425
Kepler-1624,b,Kepler-1624 b,3636,,,,9.174734618
Kepler-1625,b,Kepler-1625 b,5677,,,,5.336695996
Kepler-1626,b,Kepler-1626 b,6826,,,,3.099884203
Kepler-1627,b,Kepler-1627 b,5445,,,,5.564198055
Kepler-1628,b,Kepler-1628 b,3724,,,,8.862286683
Kepler-1629,b,Kepler-1629 b,5776,,,,4.794676965
Kepler-163,b,Kepler-163 b,5776,,,,5.039693683
Kepler-163,c,Kepler-163 c,5776,,,,5.039693683
Kepler-1630,b,Kepler-1630 b,4736,,,,6.92977602
Kepler-1631,b,Kepler-1631 b,5679,,,,5.146265193
Kepler-1632,b,Kepler-1632 b,6137,,,,4.260935764
Kepler-1633,b,Kepler-1633 b,6256,,,,3.889895729
Kepler-1634,b,Kepler-1634 b,5474,,,,5.430111258
Kepler-1635,b,Kepler-1635 b,5347,,,,5.520853589
Kepler-1636,b,Kepler-1636 b,5797,,,,4.831655018
Kepler-1637,b,Kepler-1637 b,5789,,,,4.807247416
Kepler-1638,b,Kepler-1638 b,5710,,,,5.039055625
Kepler-1639,b,Kepler-1639 b,6150,,,,4.158785786
Kepler-164,b,Kepler-164 b,5888,,,,4.301631728
Kepler-164,c,Kepler-164 c,5888,,,,4.301631728
Kepler-164,d,Kepler-164 d,5888,,,,4.301631728
Kepler-1640,b,Kepler-1640 b,6324,,,,3.926178669
Kepler-1641,b,Kepler-1641 b,6152,,,,4.349383062
Kepler-1641,c,Kepler-1641 c,6152,,,,4.349383062
Kepler-1642,b,Kepler-1642 b,5355,,,,5.878462384
Kepler-1642,c,Kepler-1642 c,5355,,,,5.878462384
Kepler-1643,b,Kepler-1643 b,5508,,,,5.030998294
Kepler-1644,b,Kepler-1644 b,5499,,,,5.361391466
Kepler-1645,b,Kepler-1645 b,5812,,,,4.840287767
Kepler-1646,b,Kepler-1646 b,3299,,,,11.19457491
Kepler-1647,b,Kepler-1647 b,6210,,,,3.128311213
Kepler-1649,b,Kepler-1649 b,3240,,,,12.30193523
Kepler-165,b,Kepler-165 b,5211,,,,5.981119338
Kepler-165,c,Kepler-165 c,5211,,,,5.981119338
Kepler-1650,b,Kepler-1650 b,3410,,-1.871,,10.31706477
Kepler-1651,b,Kepler-1651 b,3713,,-1.368,,9.289202648
Kepler-1652,b,Kepler-1652 b,3638,,-1.638,,8.923997296
Kepler-1653,b,Kepler-1653 b,4807,,-0.636,,6.039265242
Kepler-1654,b,Kepler-1654 b,5597,4.5,0.09,,4.65287009
Kepler-1655,b,Kepler-1655 b,6148,4,,0.57,4.414053795
Kepler-1656,b,Kepler-1656 b,5731,,,,5.282185873
Kepler-1658,b,Kepler-1658 b,6216,,,,1.90013621
Kepler-166,b,Kepler-166 b,5413,,,,5.6197935
Kepler-166,c,Kepler-166 c,5413,,,,5.6197935
Kepler-166,d,Kepler-166 d,5413,,,,5.6197935
Kepler-167,b,Kepler-167 b,4890,5.4,-0.57,,6.430430301
Kepler-167,c,Kepler-167 c,4890,5.4,-0.57,,6.430430301
Kepler-167,d,Kepler-167 d,4890,5.4,-0.57,,6.430430301
Kepler-167,e,Kepler-167 e,4890,5.4,-0.57,,6.430430301
Kepler-168,b,Kepler-168 b,6282,,,,3.760568213
Kepler-168,c,Kepler-168 c,6282,,,,3.760568213
Kepler-169,b,Kepler-169 b,4997,,,,6.006551352
Kepler-169,c,Kepler-169 c,4997,,,,6.006551352
Kepler-169,d,Kepler-169 d,4997,,,,6.006551352
Kepler-169,e,Kepler-169 e,4997,,,,6.006551352
Kepler-169,f,Kepler-169 f,4997,,,,6.006551352
Kepler-17,b,Kepler-17 b,5781,4.2,,,4.625550065
Kepler-170,b,Kepler-170 b,5679,,,,5.032055931
Kepler-170,c,Kepler-170 c,5679,,,,5.032055931
Kepler-171,b,Kepler-171 b,5642,,,,4.827263196
Kepler-171,c,Kepler-171 c,5642,,,,4.827263196
Kepler-171,d,Kepler-171 d,5642,,,,4.827263196
Kepler-172,b,Kepler-172 b,5526,,,,5.027434661
Kepler-172,c,Kepler-172 c,5526,,,,5.027434661
Kepler-172,d,Kepler-172 d,5526,,,,5.027434661
Kepler-172,e,Kepler-172 e,5526,,,,5.027434661
Kepler-173,b,Kepler-173 b,6031,,,,4.666574906
Kepler-173,c,Kepler-173 c,6031,,,,4.666574906
Kepler-174,b,Kepler-174 b,4880,,,,6.440130452
Kepler-174,c,Kepler-174 c,4880,,,,6.440130452
Kepler-174,d,Kepler-174 d,4880,,,,6.440130452
Kepler-175,b,Kepler-175 b,6064,,,,4.404647278
Kepler-175,c,Kepler-175 c,6064,,,,4.404647278
Kepler-176,b,Kepler-176 b,5232,,,,5.79360448
Kepler-176,c,Kepler-176 c,5232,,,,5.79360448
Kepler-176,d,Kepler-176 d,5232,,,,5.79360448
Kepler-176,e,Kepler-176 e,5232,,,,5.79360448
Kepler-177,b,Kepler-177 b,5942,,,,4.857143737
Kepler-177,c,Kepler-177 c,5942,,,,4.857143737
Kepler-178,b,Kepler-178 b,5676,,,,5.24890896
Kepler-178,c,Kepler-178 c,5676,,,,5.24890896
Kepler-178,d,Kepler-178 d,5676,,,,5.24890896
Kepler-179,b,Kepler-179 b,5302,,,,5.515280322
Kepler-179,c,Kepler-179 c,5302,,,,5.515280322
Kepler-18,b,Kepler-18 b,5345,,-0.031,,5.023960203
Kepler-18,c,Kepler-18 c,5345,,-0.031,,5.023960203
Kepler-18,d,Kepler-18 d,5345,,-0.031,,5.023960203
Kepler-180,b,Kepler-180 b,5731,,,,5.203481136
Kepler-180,c,Kepler-180 c,5731,,,,5.203481136
Kepler-181,b,Kepler-181 b,5333,,,,5.58637083
Kepler-181,c,Kepler-181 c,5333,,,,5.58637083
Kepler-182,b,Kepler-182 b,6250,,,,4.151445034
Kepler-182,c,Kepler-182 c,6250,,,,4.151445034
Kepler-183,b,Kepler-183 b,5888,,,,4.910669789
Kepler-183,c,Kepler-183 c,5888,,,,4.910669789
Kepler-184,b,Kepler-184 b,5788,,,,5.063434888
Kepler-184,c,Kepler-184 c,5788,,,,5.063434888
Kepler-184,d,Kepler-184 d,5788,,,,5.063434888
Kepler-185,b,Kepler-185 b,5208,,,,5.915895499
Kepler-185,c,Kepler-185 c,5208,,,,5.915895499
Kepler-186,b,Kepler-186 b,3755,6.1,-1.26,,8.447357765
Kepler-186,c,Kepler-186 c,3755,6.1,-1.26,,8.447357765
Kepler-186,d,Kepler-186 d,3755,6.1,-1.26,,8.447357765
Kepler-186,e,Kepler-186 e,3755,6.1,-1.26,,8.447357765
Kepler-186,f,Kepler-186 f,3755,6.1,-1.26,,8.447357765
Kepler-187,b,Kepler-187 b,6105,,,,4.482904513
Kepler-187,c,Kepler-187 c,6105,,,,4.482904513
Kepler-188,b,Kepler-188 b,6021,,,,4.912459952
Kepler-188,c,Kepler-188 c,6021,,,,4.912459952
Kepler-189,b,Kepler-189 b,5235,,,,5.904057625
Kepler-189,c,Kepler-189 c,5235,,,,5.904057625
Kepler-19,b,Kepler-19 b,5544,,,,0.267345216
Kepler-19,c,Kepler-19 c,5544,,,,0.267345216
Kepler-19,d,Kepler-19 d,5544,,,,0.267345216
Kepler-190,b,Kepler-190 b,5106,,,,5.846943017
Kepler-190,c,Kepler-190 c,5106,,,,5.846943017
Kepler-191,b,Kepler-191 b,5282,,,,5.825128334
Kepler-191,c,Kepler-191 c,5282,,,,5.825128334
Kepler-191,d,Kepler-191 d,5282,,,,5.825128334
Kepler-192,b,Kepler-192 b,5479,,,,5.181096439
Kepler-192,c,Kepler-192 c,5479,,,,5.181096439
Kepler-192,d,Kepler-192 d,5479,,,,5.181096439
Kepler-193,b,Kepler-193 b,6335,,,,4.226344102
Kepler-193,c,Kepler-193 c,6335,,,,4.226344102
Kepler-194,b,Kepler-194 b,6089,,,,4.486763559
Kepler-194,c,Kepler-194 c,6089,,,,4.486763559
Kepler-194,d,Kepler-194 d,6089,,,,4.486763559
Kepler-195,b,Kepler-195 b,5329,,,,5.751776516
Kepler-195,c,Kepler-195 c,5329,,,,5.751776516
Kepler-196,b,Kepler-196 b,5128,,,,5.881307826
Kepler-196,c,Kepler-196 c,5128,,,,5.881307826
Kepler-197,b,Kepler-197 b,6004,,,,4.147228105
Kepler-197,c,Kepler-197 c,6004,,,,4.147228105
Kepler-197,d,Kepler-197 d,6004,,,,4.147228105
Kepler-197,e,Kepler-197 e,6004,,,,4.147228105
Kepler-198,b,Kepler-198 b,5574,,,,5.050650195
Kepler-198,c,Kepler-198 c,5574,,,,5.050650195
Kepler-198,d,Kepler-198 d,5574,,,,5.050650195
Kepler-199,b,Kepler-199 b,5644,,,,5.130765404
Kepler-199,c,Kepler-199 c,5644,,,,5.130765404
Kepler-20,b,Kepler-20 b,5495,,,,5.198010011
Kepler-20,c,Kepler-20 c,5495,,,,5.198010011
Kepler-20,d,Kepler-20 d,5495,,,,5.198010011
Kepler-20,e,Kepler-20 e,5495,,,,5.198010011
Kepler-20,f,Kepler-20 f,5495,,,,5.198010011
Kepler-20,g,Kepler-20 g,5495,,,,5.198010011
Kepler-200,b,Kepler-200 b,5678,,,,4.892870532
Kepler-200,c,Kepler-200 c,5678,,,,4.892870532
Kepler-201,b,Kepler-201 b,6065,,,,4.066697627
Kepler-201,c,Kepler-201 c,6065,,,,4.066697627
Kepler-202,b,Kepler-202 b,4668,,,,6.471965285
Kepler-202,c,Kepler-202 c,4668,,,,6.471965285
Kepler-203,b,Kepler-203 b,5821,,,,4.77283611
Kepler-203,c,Kepler-203 c,5821,,,,4.77283611
Kepler-203,d,Kepler-203 d,5821,,,,4.77283611
Kepler-204,b,Kepler-204 b,5812,,,,4.479368301
Kepler-204,c,Kepler-204 c,5812,,,,4.479368301
Kepler-205,b,Kepler-205 b,4321,6.1,,,7.625543705
Kepler-205,c,Kepler-205 c,4321,6.1,,,7.625543705
Kepler-206,b,Kepler-206 b,5764,,,,4.53257418
Kepler-206,c,Kepler-206 c,5764,,,,4.53257418
Kepler-206,d,Kepler-206 d,5764,,,,4.53257418
Kepler-207,b,Kepler-207 b,5920,,,,3.777932039
Kepler-207,c,Kepler-207 c,5920,,,,3.777932039
Kepler-207,d,Kepler-207 d,5920,,,,3.777932039
Kepler-208,b,Kepler-208 b,6092,,,,4.086631177
Kepler-208,c,Kepler-208 c,6092,,,,4.086631177
Kepler-208,d,Kepler-208 d,6092,,,,4.086631177
Kepler-208,e,Kepler-208 e,6092,,,,4.086631177
Kepler-209,b,Kepler-209 b,5513,,,,5.165935764
Kepler-209,c,Kepler-209 c,5513,,,,5.165935764
Kepler-21,b,Kepler-21 b,6305,3.6,0.715,0.518,2.984607783
Kepler-210,b,Kepler-210 b,4559,6,,,6.90292317
Kepler-210,c,Kepler-210 c,4559,6,,,6.90292317
Kepler-211,b,Kepler-211 b,5123,,,,5.743720642
Kepler-211,c,Kepler-211 c,5123,,,,5.743720642
Kepler-212,b,Kepler-212 b,5852,,,,4.298128344
Kepler-212,c,Kepler-212 c,5852,,,,4.298128344
Kepler-213,b,Kepler-213 b,5696,,,,4.838360808
Kepler-213,c,Kepler-213 c,5696,,,,4.838360808
Kepler-214,b,Kepler-214 b,6169,,,,4.422719756
Kepler-214,c,Kepler-214 c,6169,,,,4.422719756
Kepler-215,b,Kepler-215 b,5739,,,,5.233415597
Kepler-215,c,Kepler-215 c,5739,,,,5.233415597
Kepler-215,d,Kepler-215 d,5739,,,,5.233415597
Kepler-215,e,Kepler-215 e,5739,,,,5.233415597
Kepler-216,b,Kepler-216 b,6091,,,,4.195646112
Kepler-216,c,Kepler-216 c,6091,,,,4.195646112
Kepler-217,b,Kepler-217 b,6171,,,,3.155213977
Kepler-217,c,Kepler-217 c,6171,,,,3.155213977
Kepler-217,d,Kepler-217 d,6171,,,,3.155213977
Kepler-218,b,Kepler-218 b,5502,,,,4.949714422
Kepler-218,c,Kepler-218 c,5502,,,,4.949714422
Kepler-218,d,Kepler-218 d,5502,,,,4.949714422
Kepler-219,b,Kepler-219 b,5786,,,,3.884544318
Kepler-219,c,Kepler-219 c,5786,,,,3.884544318
Kepler-219,d,Kepler-219 d,5786,,,,3.884544318
Kepler-22,b,Kepler-22 b,5518,4.5,-0.102,,5.270231995
Kepler-220,b,Kepler-220 b,4632,,,,7.239396396
Kepler-220,c,Kepler-220 c,4632,,,,7.239396396
Kepler-220,d,Kepler-220 d,4632,,,,7.239396396
Kepler-220,e,Kepler-220 e,4632,,,,7.239396396
Kepler-221,b,Kepler-221 b,5243,,,,5.663998294
Kepler-221,c,Kepler-221 c,5243,,,,5.663998294
Kepler-221,d,Kepler-221 d,5243,,,,5.663998294
Kepler-221,e,Kepler-221 e,5243,,,,5.663998294
Kepler-222,b,Kepler-222 b,5433,,,,5.599744831
Kepler-222,c,Kepler-222 c,5433,,,,5.599744831
Kepler-222,d,Kepler-222 d,5433,,,,5.599744831
Kepler-223,b,Kepler-223 b,,,,,5.069020692
Kepler-223,c,Kepler-223 c,,,,,5.069020692
Kepler-223,d,Kepler-223 d,,,,,5.069020692
Kepler-223,e,Kepler-223 e,,,,,5.069020692
Kepler-224,b,Kepler-224 b,5018,,,,6.17519119
Kepler-224,c,Kepler-224 c,5018,,,,6.17519119
Kepler-224,d,Kepler-224 d,5018,,,,6.17519119
Kepler-224,e,Kepler-224 e,5018,,,,6.17519119
Kepler-225,b,Kepler-225 b,3682,6.1,,,7.475853286
Kepler-225,c,Kepler-225 c,3682,6.1,,,7.475853286
Kepler-226,b,Kepler-226 b,5571,,,,5.491114368
Kepler-226,c,Kepler-226 c,5571,,,,5.491114368
Kepler-226,d,Kepler-226 d,5571,,,,5.491114368
Kepler-227,b,Kepler-227 b,5854,,,,5.149929404
Kepler-227,c,Kepler-227 c,5854,,,,5.149929404
Kepler-228,b,Kepler-228 b,6043,,,,5.132622062
Kepler-228,c,Kepler-228 c,6043,,,,5.132622062
Kepler-228,d,Kepler-228 d,6043,,,,5.132622062
Kepler-229,b,Kepler-229 b,5120,,,,6.126002033
Kepler-229,c,Kepler-229 c,5120,,,,6.126002033
Kepler-229,d,Kepler-229 d,5120,,,,6.126002033
Kepler-23,b,Kepler-23 b,5828,,,,3.922550065
Kepler-23,c,Kepler-23 c,5828,,,,3.922550065
Kepler-23,d,Kepler-23 d,5828,,,,3.922550065
Kepler-230,b,Kepler-230 b,5588,,,,5.635491487
Kepler-230,c,Kepler-230 c,5588,,,,5.635491487
Kepler-231,b,Kepler-231 b,3767,6.1,,,7.825583195
Kepler-231,c,Kepler-231 c,3767,6.1,,,7.825583195
Kepler-232,b,Kepler-232 b,5847,,,,5.054090079
Kepler-232,c,Kepler-232 c,5847,,,,5.054090079
Kepler-233,b,Kepler-233 b,5360,,,,5.756730257
Kepler-233,c,Kepler-233 c,5360,,,,5.756730257
Kepler-234,b,Kepler-234 b,6224,,,,4.452264634
Kepler-234,c,Kepler-234 c,6224,,,,4.452264634
Kepler-235,b,Kepler-235 b,4255,6,,,8.118868169
Kepler-235,c,Kepler-235 c,4255,6,,,8.118868169
Kepler-235,d,Kepler-235 d,4255,6,,,8.118868169
Kepler-235,e,Kepler-235 e,4255,6,,,8.118868169
Kepler-236,b,Kepler-236 b,3750,6.1,,,8.29777063
Kepler-236,c,Kepler-236 c,3750,6.1,,,8.29777063
Kepler-237,b,Kepler-237 b,4861,,,,6.234478597
Kepler-237,c,Kepler-237 c,4861,,,,6.234478597
Kepler-238,b,Kepler-238 b,5751,,,,4.401982759
Kepler-238,c,Kepler-238 c,5751,,,,4.401982759
Kepler-238,d,Kepler-238 d,5751,,,,4.401982759
Kepler-238,e,Kepler-238 e,5751,,,,4.401982759
Kepler-238,f,Kepler-238 f,5751,,,,4.401982759
Kepler-239,b,Kepler-239 b,4914,,,,6.116870532
Kepler-239,c,Kepler-239 c,4914,,,,6.116870532
Kepler-24,b,Kepler-24 b,5897,,,,4.52909377
Kepler-24,c,Kepler-24 c,5897,,,,4.52909377
Kepler-24,d,Kepler-24 d,5897,,,,4.52909377
Kepler-24,e,Kepler-24 e,5897,,,,4.52909377
Kepler-240,b,Kepler-240 b,4985,,,,6.319718191
Kepler-240,c,Kepler-240 c,4985,,,,6.319718191
Kepler-241,b,Kepler-241 b,4699,,,,6.842650195
Kepler-241,c,Kepler-241 c,4699,,,,6.842650195
Kepler-242,b,Kepler-242 b,5020,,,,6.245625986
Kepler-242,c,Kepler-242 c,5020,,,,6.245625986
Kepler-243,b,Kepler-243 b,5228,,,,5.958869411
Kepler-243,c,Kepler-243 c,5228,,,,5.958869411
Kepler-244,b,Kepler-244 b,5554,,,,5.766260119
Kepler-244,c,Kepler-244 c,5554,,,,5.766260119
Kepler-244,d,Kepler-244 d,5554,,,,5.766260119
Kepler-245,b,Kepler-245 b,5100,,,,5.91141054
Kepler-245,c,Kepler-245 c,5100,,,,5.91141054
Kepler-245,d,Kepler-245 d,5100,,,,5.91141054
Kepler-245,e,Kepler-245 e,5100,,,,5.91141054
Kepler-246,b,Kepler-246 b,5206,,,,5.689610928
Kepler-246,c,Kepler-246 c,5206,,,,5.689610928
Kepler-247,b,Kepler-247 b,5100,,,,5.94637083
Kepler-247,c,Kepler-247 c,5100,,,,5.94637083
Kepler-247,d,Kepler-247 d,5100,,,,5.94637083
Kepler-248,b,Kepler-248 b,5190,,,,5.742550065
Kepler-248,c,Kepler-248 c,5190,,,,5.742550065
Kepler-249,b,Kepler-249 b,3568,6.2,,,9.614741795
